artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
The Oddness,Fake Charmer,track,0.85,submithub_chart,The Oddness - Fake Charmer,https://www.submithub.com/song/the-oddness-x-ohm-collective-fake-charmer,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/cRZxiDYKwh7JseeGv/the-oddness-fake-charmer-radio-edit-ohm-master-24-44-1-1776508242207.wav,True
Kotti Affair,You Don't Stop Me,track,0.85,submithub_chart,Kotti Affair - You Don't Stop Me,https://www.submithub.com/song/kotti-affair-you-dont-stop-me,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/dwb5HY52awBGm87dW/kotti-affair-you-dont-stop-me-april-27-master-1l0cyyo.wav,True
Mozambo,Wish I Didn't Miss You,track,0.85,submithub_chart,Mozambo - Wish I Didn't Miss You,https://www.submithub.com/song/mozambo-x-antdot-wish-i-didnt-miss-you,SubmitHub,2026-04-16,https://open.spotify.com/track/6xMxBUj1l5MlsHt3clei1Z,True
Denis First,La La La,track,0.95,submithub_chart,Denis First - La La La,https://www.submithub.com/song/denis-first-la-la-la,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/yEnJ2W6TAMYdXn7Yy/denis-first-la-la-la-1776752432465.wav,True
Karen Harding,Night Moves,track,0.85,submithub_chart,Karen Harding - Night Moves,https://www.submithub.com/song/karen-harding-x-mr-belt-and-wezol-night-moves,SubmitHub,2026-04-16,https://open.spotify.com/track/2ZKSwkHVK9S75VTWc4Y97D,True
Discip,Elevator,track,0.95,submithub_chart,Discip - Elevator,https://www.submithub.com/song/discip-elevator,SubmitHub,2026-04-24,https://s.disco.ac/nhhoinnfhnhh,True
Tao Andra,Reflex,track,0.85,submithub_chart,Tao Andra - Reflex,https://www.submithub.com/song/tao-andra-reflex,SubmitHub,2026-04-23,https://open.spotify.com/intl-de/track/3vAj1bE7xK1BfDB2DdkcCf,True
Konfluence,in the night,track,0.85,submithub_chart,Konfluence - in the night,https://www.submithub.com/song/konfluence-in-the-night,SubmitHub,2026-04-16,https://open.spotify.com/intl-fr/track/4WXZPZN2NiscRBsKgnyP1u,True
Aspirin,The Tiger Sniff The Rose,track,0.95,submithub_chart,Aspirin - The Tiger Sniff The Rose,https://www.submithub.com/song/aspirin-the-tiger-sniff-the-rose,SubmitHub,2026-04-24,https://open.spotify.com/track/0JpJWcMtqCkeBbQT6RCFqb,True
Paccu,Broken Pieces,track,0.85,submithub_chart,Paccu - Broken Pieces,https://www.submithub.com/song/paccu-broken-pieces,SubmitHub,2026-04-30,https://open.spotify.com/track/3kEsyzrycRGifXxZHAMtDv,True
Lumado,Love Swollen,track,0.95,submithub_chart,Lumado - Love Swollen,https://www.submithub.com/song/lumado-love-swollen,SubmitHub,2026-04-23,https://open.spotify.com/track/72gyCbm3UzFwwHFEvtUqLh,True
Dr. Chaii,Designer,track,0.85,submithub_chart,Dr. Chaii - Designer,https://www.submithub.com/song/dr-chaii-designer-1,SubmitHub,2026-04-23,https://open.spotify.com/track/7GYjO2zack2FIFvVkFOfdL,True
Cafe,Rat in a cage,track,0.95,submithub_chart,Cafe - Rat in a cage,https://www.submithub.com/song/cafe-rat-in-a-cage-trashed,SubmitHub,2026-04-24,https://s3.amazonaws.com/submithub/files/F3ubJTPeb882Yv3bp/rat-in-a-cage-1776895338423.wav,True
Malóne Morez,Wait For Me,track,0.85,submithub_chart,Malóne Morez - Wait For Me,https://www.submithub.com/song/malone-morez-x-sohail-x-wait-for-me-wait-for-me,SubmitHub,2026-04-23,https://open.spotify.com/track/15Fw1ZKZMTw1nX5baz5jHN,True
Synchronaut,A Way Back,track,0.7,submithub_chart,Synchronaut - A Way Back,https://www.submithub.com/song/synchronaut-a-way-back,SubmitHub,2026-04-24,https://s3.amazonaws.com/submithub/files/AnsrvgDZTydd7RtN5/a-way-back-1777037400814.wav,True
Chris Veron,Acid Fire,track,0.7,submithub_chart,Chris Veron - Acid Fire,https://www.submithub.com/song/chris-veron-x-axxx7en-acid-fire,SubmitHub,2026-04-23,https://open.spotify.com/track/1QHTjXPnZ9gyPMFRXjQYSS,True
sentien_,Taste My Love,track,0.8,submithub_chart,sentien_ - Taste My Love,https://www.submithub.com/song/sentien-taste-my-love,SubmitHub,2026-04-23,https://open.spotify.com/track/0Y9N8PvZzgheB1mTQTASMe,True
Mikos Da Gawd,Spin Cycle,track,0.7,submithub_chart,Mikos Da Gawd - Spin Cycle,https://www.submithub.com/song/mikos-da-gawd-spin-cycle,SubmitHub,2026-04-22,https://s3.amazonaws.com/submithub/files/HR3cXmqBbMJHB8Zmp/mikos-da-gawd-spin-cycle-1776707360409.mp3,True
KOBAIEN,DO WANT PLAY,track,0.8,submithub_chart,KOBAIEN - DO WANT PLAY,https://www.submithub.com/song/kobaien-do-want-play,SubmitHub,2026-04-24,https://open.spotify.com/intl-fr/track/7FJ0gupzoJcMRWiTBwUX0P,True
Dexter Troy,Feels Like,track,0.7,submithub_chart,Dexter Troy - Feels Like,https://www.submithub.com/song/dexter-troy-feels-like,SubmitHub,2026-04-23,https://open.spotify.com/intl-fr/track/6wxO9shwaB9U0uadxFeIK9,True
Sam Harris,Different Eyes,track,0.7,submithub_chart,Sam Harris - Different Eyes,https://www.submithub.com/song/sam-harris-different-eyes,SubmitHub,2026-04-23,https://open.spotify.com/intl-de/track/3VmZz31m5qIaALqSPo48E7,True
Nick Proof,Following The Sun,track,0.8,submithub_chart,Nick Proof - Following The Sun,https://www.submithub.com/song/nick-proof-following-the-sun,SubmitHub,2026-04-24,https://s3.amazonaws.com/submithub/files/bayq2EMLX4JdtKkNA/nick-proof-following-the-sun-1776469081718.wav,True
Nico de Andrea,River (feat. Ara),track,0.7,submithub_chart,Nico de Andrea - River (feat. Ara),https://www.submithub.com/song/nico-de-andrea-river-feat-ara,SubmitHub,2026-04-23,https://open.spotify.com/track/5CVfpoHb8yDLy8JOIU8AiM,True
Overhoff,I'm Down To,track,0.7,submithub_chart,Overhoff - I'm Down To,https://www.submithub.com/song/overhoff-im-down-to,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/WWW97BnouMrkh4z8e/im-down-to-overhoff-radio-1776342963094.wav,True
Mike Kohl,Vagrant,remix,0.7,submithub_chart,Mike Kohl - Vagrant,https://www.submithub.com/song/mike-kohl-x-engelbert-vagrant-remix-by-jp-lantieri,SubmitHub,2026-04-23,https://open.spotify.com/track/7DCHsAxobDsnFnxINz4ks4,True
Adrià Falcó,Mantra,track,0.7,submithub_chart,Adrià Falcó - Mantra,https://www.submithub.com/song/adria-falco-mantra,SubmitHub,2026-04-23,https://www.youtube.com/watch?v=bVhZGUJ2xg0,True
ALPHI,Stay Here Forever,track,0.7,submithub_chart,ALPHI - Stay Here Forever,https://www.submithub.com/song/alphi-stay-here-forever,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/6yoozp5NKhsGHyEXW/alphistayhereforeverradioeditmaster6-1776667247383.wav,True
MaWayy,Moon and Back,track,0.7,submithub_chart,MaWayy - Moon and Back,https://www.submithub.com/song/mawayy-moon-and-back,SubmitHub,2026-04-10,https://open.spotify.com/track/1oWgxKqMRdTEMna4ny7Sls,True
Tufan Uysal,Tufan Uysal - Lost,track,0.8,submithub_chart,Tufan Uysal - Tufan Uysal - Lost,https://www.submithub.com/song/tufan-uysal-tufan-uysal-lost,SubmitHub,2026-04-23,https://open.spotify.com/intl-tr/track/3RJOLLq3uzP4603VrFBuIt,True
Jon Gravy,Show Me,track,0.7,submithub_chart,Jon Gravy - Show Me,https://www.submithub.com/song/jon-gravy-x-julzy-show-me,SubmitHub,2026-04-29,https://s3.amazonaws.com/submithub/files/iNiqDuCYGhcfEiFdn/julzy-x-jon-gravy-show-me-2444-dm-02-2-1774624467823.wav,True
BXT,"BXT, Sylver - Head, Heart & Soul",track,0.7,submithub_chart,"BXT - BXT, Sylver - Head, Heart & Soul",https://www.submithub.com/song/bxt-bxt-sylver-head-heart-and-soul,SubmitHub,2026-04-23,https://open.spotify.com/track/3C6DvcHzZOJEgfVak1mIp8,True
Con's Universe,"somewhere, sometime",track,0.7,submithub_chart,"Con's Universe - somewhere, sometime",https://www.submithub.com/song/cons-universe-somewhere-sometime,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/WyW3rRWksY926eQvR/cons-universe-somewhere-sometime-master-hq8k8iz.mp3,True
Deepend,Lovin' You (Chill Mix),track,0.7,submithub_chart,Deepend - Lovin' You (Chill Mix),https://www.submithub.com/song/deepend-x-svnsets-x-aloma-steele-lovin-you-chill-mix,SubmitHub,2026-04-16,https://open.spotify.com/intl-de/track/2IzvfOztA9oSZXj2kbvyCx,True
Reveka,Dawnward,track,0.7,submithub_chart,Reveka - Dawnward,https://www.submithub.com/song/reveka-dawnward,SubmitHub,2026-04-21,https://open.spotify.com/track/1AOcGphu4DX7Pp6dvMa55l,True
BARTY B,Abyss,track,0.7,submithub_chart,BARTY B - Abyss,https://www.submithub.com/song/barty-b-abyss,SubmitHub,2026-04-23,https://open.spotify.com/track/1IhFmNkoj0HzBHaZroNlIq,True
TWINNS,Alive Again,track,0.7,submithub_chart,TWINNS - Alive Again,https://www.submithub.com/song/twinns-x-mare-x-levis-della-alive-again,SubmitHub,2026-04-16,https://open.spotify.com/track/5rBkfFiBtH3Zafkod0XhrB,True
Deep Fried Soul,Back Together Again,track,0.7,submithub_chart,Deep Fried Soul - Back Together Again,https://www.submithub.com/song/deep-fried-soul-back-together-again,SubmitHub,2026-04-30,https://soundcloud.com/deepfriedsoul2026/back-together-2025-v11/s-5jziSX68VhX,True
Topic,Sorry Papi,track,0.7,submithub_chart,Topic - Sorry Papi,https://www.submithub.com/song/topic-x-becky-g-sorry-papi,SubmitHub,2026-04-23,https://www.youtube.com/watch?v=CxJu0bncG0k,True
Mentum,Enchanted,track,0.7,submithub_chart,Mentum - Enchanted,https://www.submithub.com/song/mentum-enchanted,SubmitHub,2026-04-23,https://open.spotify.com/track/078spr6jDODcTEOg4XBzms,True
No Parachute,She Told Me,track,0.8,submithub_chart,No Parachute - She Told Me,https://www.submithub.com/song/no-parachute-x-alex-twin-she-told-me,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/vDrAr3spLNAusaRYR/alex-twin-no-parachute-she-told-me-radio-edit-5n2782l.wav,True
LOVESLAP,Technocolor,track,0.7,submithub_chart,LOVESLAP - Technocolor,https://www.submithub.com/song/loveslap-technocolor,SubmitHub,2026-04-23,https://open.spotify.com/track/0njhp6C7W3wott03UlOXvv,True
Ema Feud,24/7,track,0.7,submithub_chart,Ema Feud - 24/7,https://www.submithub.com/song/ema-feud-x-milena-boleda-24-7,SubmitHub,2026-04-23,https://open.spotify.com/track/3aTmH8lwQgo40BmYU2pu7C,True
Natalie Gray,Favourite,track,0.7,submithub_chart,Natalie Gray - Favourite,https://www.submithub.com/song/natalie-gray-favourite,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/2ASzHBuCAwYTrJnKL/favourite-1776509863721.wav,True
Command Da Vibez,The Excellency,track,0.7,submithub_chart,Command Da Vibez - The Excellency,https://www.submithub.com/song/command-da-vibez-the-excellency,SubmitHub,2026-04-11,https://s3.amazonaws.com/submithub/files/wKNTgMhvjwL8edGkp/command-da-vibez-excellency-fm4-masterchannel-2026-03-17-1776466904555.wav,True
Ordonez,Dejala Venir,track,0.7,submithub_chart,Ordonez - Dejala Venir,https://www.submithub.com/song/ordonez-x-andy-faisca-dejala-venir,SubmitHub,2026-04-23,https://open.spotify.com/intl-de/track/5G5RReht4M9ahmQ5jjGuzc,True
NevadaSYSTEM,Above the Noise,track,0.7,submithub_chart,NevadaSYSTEM - Above the Noise,https://www.submithub.com/song/nevadasystem-above-the-noise,SubmitHub,2026-04-23,https://open.spotify.com/track/7CJEIqDczrda0WeiHuDlpq,True
Monge,Allure,track,0.7,submithub_chart,Monge - Allure,https://www.submithub.com/song/monge-allure,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/JsPAypRPquPM5fnxH/monge-allure-1776938874322.wav,True
DJ Atlance,Get Back,track,0.7,submithub_chart,DJ Atlance - Get Back,https://www.submithub.com/song/dj-atlance-get-back,SubmitHub,2026-04-23,https://open.spotify.com/intl-fr/track/34I1Z0MvgUgeCYBclXbacd,True
DJ Sign,Ready Or Not,track,0.7,submithub_chart,DJ Sign - Ready Or Not,https://www.submithub.com/song/dj-sign-ready-or-not,SubmitHub,2026-04-23,https://open.spotify.com/intl-de/track/1XpXoAL37p82LT5imh2SbR,True
Jan William,Floating,track,0.7,submithub_chart,Jan William - Floating,https://www.submithub.com/song/jan-william-floating,SubmitHub,2026-04-23,https://soundcloud.com/jan-william-mejer/floating-1/s-XAnbD48SjJL,True
LSTEN,Feel Your Body,track,0.7,submithub_chart,LSTEN - Feel Your Body,https://www.submithub.com/song/lsten-x-ravven-x-nelnel-feel-your-body,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/GtKPAd7QnxSWuXNEY/lsten-ravven-nelnel-feel-your-body-1776508786096.wav,True
Zarka,Hit the throttle,track,0.7,submithub_chart,Zarka - Hit the throttle,https://www.submithub.com/song/zarka-hit-the-throttle,SubmitHub,2026-04-24,https://www.youtube.com/watch?v=CG6JUR1o2OA,True
Grand Bleu,Alive,track,0.7,submithub_chart,Grand Bleu - Alive,https://www.submithub.com/song/grand-bleu-alive,SubmitHub,2026-04-23,https://open.spotify.com/intl-fr/track/2J5AnEpNP8j53tHTVkTnPP,True
PJAMA SAM,Por Atra,track,0.7,submithub_chart,PJAMA SAM - Por Atra,https://www.submithub.com/song/pjama-sam-por-atra,SubmitHub,2026-04-23,https://open.spotify.com/track/0Fvh7v11vvS38RNX25uzio,True
Mark Stenton,Semper Ardens,track,0.7,submithub_chart,Mark Stenton - Semper Ardens,https://www.submithub.com/song/mark-stenton-semper-ardens,SubmitHub,2026-04-23,https://open.spotify.com/track/7EbT3fLPUeWEgUCtZkbyVY,True
Stendahl,Introvert,track,0.7,submithub_chart,Stendahl - Introvert,https://www.submithub.com/song/stendahl-introvert,SubmitHub,2026-04-28,https://open.spotify.com/track/3z8FiqaczD7MonpdJmZ6SP,True
Tweemian,Tweemian - Solo,track,0.7,submithub_chart,Tweemian - Tweemian - Solo,https://www.submithub.com/song/tweemian-tweemian-solo,SubmitHub,2026-04-23,https://open.spotify.com/track/49G2JIsWj1pgoSMzmH3ohy,True
Valek,Balazo,track,0.7,submithub_chart,Valek - Balazo,https://www.submithub.com/song/valek-balazo,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/4YnPHGHC4YgG3RboB/waveform-audio-1776802183412.wav,True
Owen Andrews,Time Has Come,track,0.7,submithub_chart,Owen Andrews - Time Has Come,https://www.submithub.com/song/owen-andrews-time-has-come,SubmitHub,2026-04-23,https://open.spotify.com/track/5rdUsIhQdX7SnzgQ5bwovA,True
polliwog.,can't wait 'till I see LA,track,0.7,submithub_chart,polliwog. - can't wait 'till I see LA,https://www.submithub.com/song/polliwog-cant-wait-till-i-see-la,SubmitHub,2026-04-22,https://open.spotify.com/track/1EfMoFVMPZqzrVlJRoaZjt,True
Hawkeys,Gelatyn,track,0.7,submithub_chart,Hawkeys - Gelatyn,https://www.submithub.com/song/hawkeys-x-tim-grand-gelatyn,SubmitHub,2026-04-28,https://open.spotify.com/track/6BNNLxvizMT29kT15HGivM,True
DREAMDXSE,theclubrock,track,0.7,submithub_chart,DREAMDXSE - theclubrock,https://www.submithub.com/song/dreamdxse-theclubrock,SubmitHub,2026-04-16,https://open.spotify.com/track/25799jO3Y6vgmuy6SMX6bl,True
bufr.,don't call,track,0.7,submithub_chart,bufr. - don't call,https://www.submithub.com/song/bufr-dont-call,SubmitHub,2026-04-29,https://s3.amazonaws.com/submithub/files/HR3cXmqBbMJHB8Zmp/dont-call-bufr-master-v1-24-44-1k-hz-1776283989441.wav,True
Mike Sandcastle,Give Me Your Love,track,0.7,submithub_chart,Mike Sandcastle - Give Me Your Love,https://www.submithub.com/song/mike-sandcastle-give-me-your-love,SubmitHub,2026-04-23,https://open.spotify.com/track/14mecXkrxm5i3dqdTp09Ee,True
LUMO,Dale,track,0.7,submithub_chart,LUMO - Dale,https://www.submithub.com/song/lumo-dale,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/EyBpy5F5RFiesqpXZ/dale-master-1776799112840.mp3,True
Kraver,Home,track,0.7,submithub_chart,Kraver - Home,https://www.submithub.com/song/kraver-x-michael-elliot-home,SubmitHub,2026-04-23,https://s3.amazonaws.com/submithub/files/4yMr6kc46XaG5RMPH/tmg-kraver-and-michael-elliot-home-radio-m1-analog-1776943964595.wav,True
Delon,Soul To Soul (feat. Eliezer Murad),track,0.7,submithub_chart,Delon - Soul To Soul (feat. Eliezer Murad),https://www.submithub.com/song/delon-soul-to-soul-feat-eliezer-murad,SubmitHub,2026-04-23,https://open.spotify.com/intl-fr/track/5lf0vIiJSsC2qDRsqjBmgZ,True
CHAN,Clap Your Hands,track,0.7,submithub_chart,CHAN - Clap Your Hands,https://www.submithub.com/song/chan-clap-your-hands,SubmitHub,2026-04-23,https://open.spotify.com/track/7oLAHzJ84AHdJ88HOELv2T,True
Venne,Dimension,track,0.7,submithub_chart,Venne - Dimension,https://www.submithub.com/song/venne-dimension,SubmitHub,2026-04-23,https://open.spotify.com/track/6XrqfrQZmNcaHKzZd5WYJj,True
Bardo,ALL I WANT IS U,track,0.7,submithub_chart,Bardo - ALL I WANT IS U,https://www.submithub.com/song/bardo-all-i-want-is-u,SubmitHub,2026-04-25,https://s3.amazonaws.com/submithub/files/PcPba8GC4vWWQcyGa/all-i-want-is-u-v5-1-1777007118840.wav,True
Mr.Moudz,Agoza,track,0.7,submithub_chart,Mr.Moudz - Agoza,https://www.submithub.com/song/mr-moudz-agoza,SubmitHub,2026-04-23,https://open.spotify.com/intl-it/track/76Do2G3YXOazBKlN5166yy,True
